product_id;name;serie_id;hfb;pa;pa
444064;STRÅLA tbl deco house AU;mXDifeM2M6EGBDgru;HFB10;1081;1081
80117317;TINDRA scnt tealt natural/vanilla 42-p FI;uPkzHbomfHh3TfJPb;HFB16;1632;1632
80117355;TINDRA scntd cndl in glss 8 lilac/lavender FI;uPkzHbomfHh3TfJPb;HFB16;1632;1632
80126166;TINDRA LJUV scntd cndl in glss blk/grewhite 3-p FI;Dray3cKxqgyvzcobe;HFB16;1632;1632
80135321;TINDRA scnt tealt natural 36-p FI;uPkzHbomfHh3TfJPb;HFB16;1632;1632
80135335;TINDRA scntd cndl in glss 8 natural FI;uPkzHbomfHh3TfJPb;HFB16;1632;1632
80143613;TINDRA scntd blck cndl 14 natural FI;uPkzHbomfHh3TfJPb;HFB16;1632;1632
80149691;MJÄLLBY scntcndl pot 3 striped/assorted colours FI;MNDgyhR5CXTnpMXZP;HFB16;1632;1632
80152056;FLORERA FIN unscntd cndl in glass 9 turquoise FI;WNayfEXnexJzQjQWy;HFB16;1632;1632
80156422;TINDRA N scnt tealt green 36-p FI;uPkzHbomfHh3TfJPb;HFB16;1632;1632
80160136;YNGSJÖ tealt hldr 5 smoked 5-p FI;Fv5GnvyYPefBDQAuL;HFB16;1631;1631
80173228;BARFOTA candle in glass 8 square/assort colours FI;fdGWcJRzFGhdvjzdE;HFB16;1632;1632
80178179;BIGARRÅ unscntd cndl in cup 3 wcks 6 black FI;MrCQ468d9jSR2DKPR;HFB16;1632;1632
80187904;ÅRYD cndlestick/tealt hldr 14 white FI;wGtPqys7dmJaZXYvy;HFB16;1631;1631
80200496;BRÄCKE lantern 16 clear glass FI;4cLcsrwAAmkNdMf4D;HFB16;1631;1631
80202834;YRSNÖ tealt hldr 8 clear glass FI;qhSwgaaT2bo9wr734;HFB16;1631;1631
80213494;YRSNÖ lantern f block cndl 20 clear glass FI;qhSwgaaT2bo9wr734;HFB16;1631;1631
80219815;TINDRA LJUV scntd cndl gls blue-grey 3p 1208 FI;Dray3cKxqgyvzcobe;HFB16;1632;1632
90466080;"AXSTAD door 15x40\"" dark grey NA";F5PtbknLuEPwTJpw7;HFB07;721;721
50420664;BONDHOLMEN so2 out 139x81x73 grey AP;BDnWrLhkRsup5LdHj;HFB17;1713;1713
456636;BILD poster 31x41 Curiousity 3-p NA;oTtS7mWMa7FsBDhMB;HFB16;1642;1642
457914;GO wash-stnd w 4 drws 140x47x58 bsa eff;c544DPozwoWbhKXHL;HFB06;611;611
435601;"BODARP door 12x40\"" grey-green NA";SZA6zFHMbk4RvXQFC;HFB07;721;721
90463864;FÄRGRIK bowl 16 stoneware/dark turquoise RU;dZnx9i9vsQxwGQFHu;HFB15;1511;1511
90463958;FÄRGRIK side plate 21 stoneware/dark turquoise RU;dZnx9i9vsQxwGQFHu;HFB15;1511;1511
90468079;STRANDLOKA fitt sheet 180x200 dark grey;dR2hELEQQCY5dNhN7;HFB11;1111;1111
435682;BODARP deco strip round 221 grey-green RU;SZA6zFHMbk4RvXQFC;HFB07;721;721
50419222;VÅRSTA drawer frt 80x20 stainless steel JP;NTgbDCvkRBLQ8keLq;HFB07;721;721
50420268;SUNNEBY cord set 1.0 m white textile JP;ZZW88ZF3kzCdr73B8;HFB10;1015;1015
444634;BODBYN door 40x140 dark green RU;ZFc27eFHPFramhrF8;HFB07;721;721
461567;LERH N drawer frt 40x20 light grey RU;Si7XZRzT3rHAJgBnZ;HFB07;721;721
50419199;VÅRSTA cvr pnl w legs 62x88 stainless steel AP;NTgbDCvkRBLQ8keLq;HFB07;721;721
90466136;STRANDMON legs f ach black 4-p;iyj6XamH3GKhHNwdr;HFB01;125;125
90466117;"AXSTAD gls dr 18x40\"" dark grey NA";F5PtbknLuEPwTJpw7;HFB07;721;721
90313681;SKOGSLIV - UGGLAN TAR SEMESTER book;JqexwQmwNzLt45CQQ;HFB92;9241;9241
420633;BONDHOLMEN bench w backrest, out grey AP;BDnWrLhkRsup5LdHj;HFB17;1715;1715
30012172;TORARP furn fab pce 137 green NA.;58T9CMxDv6woRWscv;HFB01;113;113
50442939;HIMLEÅN guest twl 30x50 dark grey/mélange;y2HMGBvCzLet2BKCa;HFB11;1131;1131
99014098;PAX crn wrd 73/73x201 oak eff/Bergsbo frst gls/wh;eRPPHymv3H6aQsGoj;HFB04;421;421
99014102;PAX crn wrd 73/73x201 oak eff/Birkeland wh;eRPPHymv3H6aQsGoj;HFB04;421;421
99014164;PAX crn wrd 73/73x201 oak eff/Tanem wh;eRPPHymv3H6aQsGoj;HFB04;421;421
466107;"AXSTAD drawer frt 30x10\"" dark grey NA";F5PtbknLuEPwTJpw7;HFB07;721;721
9907762;PAX crn wrd 73/73x201 oak/Vikedal mi;eRPPHymv3H6aQsGoj;HFB04;421;421
